Sample,ZFC ID,Target,Well,Data Set,Content,Type,Cq,Starting Quantity (SQ),Control,cDNA,fn,sample excluded,SQ,Absolute Quantity,Absolute Quantity SD,Mean Cq,Cq SD,Efficiency,Relative Quantity,Relative Quantity SD,Normalization Factor,Normalization Factor SD,Expression,Expression SD,Dose
96189_10,96189,ATP,A09,Cy5,Unkn-05,Unk,24.1018148954958,42.0065082428374,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,42.006508242838045,42.21983433986854,3.6575994990465905,24.098358081334727,0.1293084998436563,94.03659168891471,0.9695782413136674,0.08310795659566426,,,,,10
96189_10,96189,EIF,A09,HEX,Unkn-05,Unk,25.221368736411,39.6718688442975,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,39.671868844297414,41.25788476403555,2.4227397779801607,25.161469777038448,0.09034122780752599,88.43220810680386,0.9588313723402437,0.054880939654093595,,,,,10
96189_10,96189,SOD1,A09,FAM,Unkn-05,Unk,23.0303662711804,40.8874512676387,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,40.88745126763711,40.25119915426348,1.9707911643701759,23.05600752514505,0.07591398825860168,90.94998848889404,0.9356865996313358,0.045946242951687574,0.9641898338553585,0.049689162718311336,0.9704381510536663,0.06907891208928002,10
96189_100,96189,ATP,A05,Cy5,Unkn-03,Unk,24.1574789845742,40.4847817353486,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,40.48478173534772,41.06897887336814,3.012689307434838,24.138994081081975,0.11294667812160333,94.03659168891471,0.943809667071536,0.07066275308585777,,,,,100
96189_100,96189,EIF,A05,HEX,Unkn-03,Unk,25.2584918986547,38.749671996625,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,38.74967199662553,40.18038243300754,1.7898780647145411,25.20243401728305,0.07002178749906078,88.43220810680386,0.9342663658708816,0.04144739327491093,,,,,100
96189_100,96189,SOD1,A05,FAM,Unkn-03,Unk,23.0700078603435,39.8523502638127,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,39.85235026381326,40.481989131010195,1.0720766603255991,23.046175661755953,0.040605690830501306,90.94998848889404,0.9416562066935519,0.02473301514466418,0.9390258930022807,0.04086003560619085,1.0028011087988868,0.05096828013014061,100
96189_1000,96189,ATP,A01,Cy5,Unkn-01,Unk,24.0182913079628,44.3978210972026,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,44.39782109720289,42.260976026633806,2.000473781156082,24.09398469981475,0.07197383875413803,94.03659168891471,0.9723931386560188,0.04639265447724565,,,,,1000
96189_1000,96189,EIF,A01,HEX,Unkn-01,Unk,25.0477434668437,44.2849893322913,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,44.28498933229199,43.25256335861198,1.1752253341073569,25.08541907766695,0.04334212041773892,88.43220810680386,1.0061621503119196,0.027629399434078265,,,,,1000
96189_1000,96189,SOD1,A01,FAM,Unkn-01,Unk,22.8969025772286,44.5741029614034,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,44.574102961402666,43.05224799048101,1.133792986612479,22.951006217066425,0.04045500673615875,90.94998848889404,1.0014455454652957,0.02620579886847686,0.9891335457554236,0.027224919756285736,1.0124472572613734,0.03845079247110642,1000
96189_3,96189,ATP,A11,Cy5,Unkn-06,Unk,24.4353605521551,33.6739641922017,,P15,20220216_SOD1_EIFATP_P15_All Wells.csv,False,33.67396419220258,34.64078793857489,2.0665293876416686,24.3946172961801,0.08819504139075565,94.03659168891471,0.7966997490041773,0.046577000698688774,,,,,3
